soil_moisture,rainfall,rainfall_24h,slope_angle,tilt_rate,factor_of_safety,synthetic_risk_probability,hazard_label,hazard_tier
46.63,20.99,48.68,31.48,0.0962,0.97,0.9715,1,CRITICAL
78.4,27.98,73.58,27.03,-0.0579,0.84,0.9862,1,CRITICAL
35.99,34.34,33.84,32.53,0.0167,1.03,0.7196,1,HIGH
59.99,76.51,135.72,38.66,0.1309,0.73,0.9988,1,CRITICAL
56.72,28.83,50.19,26.36,0.0332,1.05,0.9343,1,CRITICAL
74.63,39.91,68.75,26.36,0.0539,0.9,0.9908,1,CRITICAL
17.46,19.36,14.01,39.05,0.0151,1.0,0.3649,0,HIGH
17.13,31.42,20.15,33.37,0.0174,1.16,0.2952,0,HIGH
37.65,20.34,31.23,24.71,0.0231,1.32,0.5377,1,HIGH
45.81,32.67,57.07,31.8,0.0282,0.97,0.9129,1,CRITICAL
52.45,21.35,54.31,24.76,-0.0491,1.16,0.748,1,HIGH
29.33,7.28,36.2,24.74,0.012,1.41,0.3453,0,MODERATE
14.82,0.0,16.92,29.69,0.0077,1.32,0.2404,0,MODERATE
90.33,50.58,97.57,14.61,0.0458,1.35,0.9788,1,CRITICAL
37.11,0.0,29.74,15.93,0.0277,2.05,0.0867,0,LOW
73.17,49.56,64.62,24.06,-0.0511,0.99,0.9846,1,CRITICAL
28.95,27.82,39.32,20.91,-0.0291,1.67,0.191,0,LOW
44.7,40.4,71.54,30.2,0.0481,1.03,0.934,1,CRITICAL
23.64,24.85,22.93,21.64,0.0056,1.69,0.0728,0,LOW
84.23,36.73,79.06,18.11,0.0456,1.17,0.9766,1,CRITICAL
35.42,15.75,39.91,38.26,0.0286,0.89,0.7811,1,CRITICAL
20.43,9.13,47.44,26.42,0.014,1.42,0.2534,0,MODERATE
77.39,45.36,62.69,28.47,0.0495,0.81,0.9941,1,CRITICAL
36.93,14.6,37.83,18.03,0.039,1.81,0.1392,0,LOW
75.37,38.15,63.32,24.19,0.0591,0.96,0.9859,1,CRITICAL
68.56,43.13,55.18,28.78,0.0426,0.87,0.9761,1,CRITICAL
59.04,43.48,49.62,19.94,0.0412,1.35,0.867,1,CRITICAL
59.29,61.91,103.67,30.63,0.0776,0.9,0.9944,1,CRITICAL
37.54,24.04,33.66,23.8,0.0101,1.37,0.3002,0,MODERATE
35.17,32.45,69.14,25.96,0.0282,1.29,0.6063,1,HIGH
49.47,42.65,43.02,23.79,0.022,1.24,0.6618,1,HIGH
68.65,55.39,95.09,40.97,0.0928,0.64,0.9972,1,CRITICAL
49.12,33.95,55.24,27.91,0.0296,1.07,0.8395,1,CRITICAL
14.36,3.9,13.29,20.6,-0.0441,1.91,0.0422,0,LOW
61.17,49.2,62.01,33.76,0.0527,0.81,0.9701,1,CRITICAL
43.25,26.21,40.35,19.45,0.0395,1.59,0.3443,0,MODERATE
50.2,36.05,47.4,29.46,0.027,1.0,0.8345,1,CRITICAL
44.7,30.21,44.46,14.28,0.0123,2.14,0.0771,0,LOW
43.19,23.47,42.79,18.7,0.0445,1.66,0.3698,0,MODERATE
47.64,41.98,54.48,29.38,0.0357,1.03,0.8671,1,CRITICAL
69.45,49.95,77.5,33.17,0.0933,0.76,0.9935,1,CRITICAL
25.06,6.01,26.04,29.2,0.0073,1.24,0.2006,0,MODERATE
41.76,33.39,72.14,27.19,0.0645,1.16,0.9338,1,CRITICAL
22.17,37.22,59.56,25.89,0.0194,1.43,0.2939,0,MODERATE
45.2,31.14,36.78,17.65,0.0123,1.72,0.4116,0,MODERATE
49.79,40.43,40.06,22.96,0.0325,1.28,0.7551,1,CRITICAL
28.29,0.79,30.93,24.78,0.0311,1.42,0.4608,0,MODERATE
55.55,34.96,57.83,35.4,0.0386,0.81,0.972,1,CRITICAL
57.27,35.32,50.7,30.41,0.0948,0.92,0.9781,1,CRITICAL
32.22,21.12,30.28,15.66,0.023,2.17,0.0264,0,LOW
50.62,44.6,57.51,30.27,0.0352,0.98,0.8782,1,CRITICAL
15.76,22.41,26.42,25.3,0.006,1.54,0.1285,0,LOW
27.82,5.14,25.0,23.26,0.0129,1.52,0.1815,0,LOW
37.77,27.41,62.6,32.28,0.0292,1.02,0.8587,1,CRITICAL
36.45,30.87,46.25,35.22,0.03,0.95,0.8542,1,CRITICAL
19.72,23.42,22.53,34.52,0.028,1.1,0.4622,0,HIGH
23.46,23.05,36.03,22.13,0.0224,1.65,0.1149,0,LOW
39.25,4.14,33.19,25.84,0.0198,1.25,0.62,1,HIGH
71.77,29.66,66.89,30.32,0.0504,0.81,0.9858,1,CRITICAL
67.33,40.9,56.64,34.83,0.0915,0.74,0.9927,1,CRITICAL
45.86,18.91,37.33,24.65,0.0188,1.24,0.6854,1,HIGH
60.16,33.77,54.32,26.7,0.034,1.01,0.9269,1,CRITICAL
71.34,46.37,59.53,20.26,0.0442,1.19,0.8884,1,CRITICAL
22.89,8.0,33.37,19.63,0.0271,1.87,0.0931,0,LOW
77.5,43.14,78.81,33.69,0.1308,0.7,0.9991,1,CRITICAL
67.61,28.67,56.5,37.49,0.0999,0.7,0.9894,1,CRITICAL
66.5,35.7,53.57,27.5,-0.0694,0.93,0.9666,1,CRITICAL
23.18,33.02,42.16,35.02,0.02,1.06,0.7224,1,HIGH
36.22,2.6,29.01,30.53,0.0134,1.09,0.6107,1,HIGH
69.9,37.29,62.24,23.48,0.0472,1.04,0.9636,1,CRITICAL
50.81,39.23,50.89,30.53,0.0266,0.97,0.874,1,CRITICAL
54.74,23.09,69.4,38.77,0.0524,0.76,0.9688,1,CRITICAL
70.45,49.59,83.72,27.75,0.0546,0.89,0.9864,1,CRITICAL
39.52,18.43,50.97,38.95,-0.0291,0.85,0.9157,1,CRITICAL
61.03,25.44,53.09,12.0,0.0226,2.19,0.1471,0,LOW
77.21,23.47,80.88,33.75,0.0778,0.7,0.9972,1,CRITICAL
80.9,55.31,68.97,28.61,0.0601,0.78,0.9965,1,CRITICAL
32.64,14.28,29.74,25.91,-0.035,1.31,0.4077,0,MODERATE
37.31,16.97,41.73,28.64,0.0317,1.15,0.7053,1,HIGH
63.72,44.09,68.01,14.09,0.0617,1.82,0.7268,1,HIGH
83.03,29.92,67.24,26.46,-0.0581,0.82,0.99,1,CRITICAL
30.01,3.59,24.94,30.5,0.0124,1.15,0.4618,0,HIGH
62.31,58.81,72.84,38.35,0.06,0.72,0.9941,1,CRITICAL
45.54,57.61,65.87,24.37,0.0411,1.25,0.7832,1,CRITICAL
74.54,38.21,73.54,22.34,0.0685,1.05,0.9879,1,CRITICAL
33.19,31.64,34.95,24.49,0.0125,1.38,0.3237,0,MODERATE
74.67,56.2,87.73,34.41,0.1068,0.7,0.9989,1,CRITICAL
69.8,31.11,75.41,30.3,0.0644,0.82,0.9822,1,CRITICAL
40.18,17.8,45.14,24.29,0.017,1.32,0.5324,1,HIGH
18.43,27.83,20.53,31.59,0.0194,1.21,0.1941,0,MODERATE
59.05,16.06,50.55,28.68,0.0395,0.95,0.9243,1,CRITICAL
44.01,48.82,43.34,34.78,0.0225,0.91,0.822,1,CRITICAL
16.73,5.36,18.46,23.09,0.01,1.67,0.0527,0,LOW
75.85,55.95,66.9,25.71,0.0665,0.91,0.9821,1,CRITICAL
43.48,24.34,45.66,25.26,0.0289,1.23,0.682,1,HIGH
75.53,45.92,63.2,17.76,0.0332,1.3,0.9276,1,CRITICAL
59.36,57.21,72.1,30.07,0.0825,0.91,0.9713,1,CRITICAL
73.95,50.81,61.52,29.83,0.0493,0.8,0.9836,1,CRITICAL
11.62,5.63,19.13,28.04,0.0064,1.43,0.2065,0,MODERATE
50.83,28.16,61.22,26.36,0.0339,1.11,0.8843,1,CRITICAL
86.38,46.62,79.06,18.09,0.0749,1.14,0.9787,1,CRITICAL
31.69,6.24,32.07,25.06,0.0191,1.37,0.2408,0,MODERATE
52.03,33.16,51.29,25.6,0.04,1.13,0.87,1,CRITICAL
26.14,21.33,49.23,22.38,0.0657,1.6,0.3681,0,MODERATE
83.19,92.6,136.29,26.87,-0.1245,0.81,0.9993,1,CRITICAL
39.99,22.47,46.95,30.83,0.0221,1.05,0.8738,1,CRITICAL
50.18,20.86,63.8,41.2,0.0673,0.75,0.991,1,CRITICAL
52.17,39.18,41.95,29.22,0.042,1.0,0.8861,1,CRITICAL
59.64,49.57,79.56,29.8,0.0511,0.92,0.9807,1,CRITICAL
31.41,43.09,71.33,27.48,0.0264,1.25,0.7184,1,HIGH
64.31,49.52,64.29,14.57,-0.0387,1.75,0.689,1,HIGH
46.66,43.73,58.36,27.81,0.0293,1.09,0.809,1,CRITICAL
17.62,7.31,24.88,28.42,-0.0077,1.35,0.2936,0,MODERATE
14.96,5.72,17.02,45.24,0.0221,0.9,0.4949,0,CRITICAL
54.44,32.21,72.24,26.65,0.0668,1.06,0.9603,1,CRITICAL
15.04,0.75,25.66,30.11,0.005,1.3,0.1783,0,MODERATE
